Date,RELIANCE Open,RELIANCE High,RELIANCE Low,RELIANCE Close,RELIANCE Adj Close,RELIANCE Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Close,DMART Volume,,,,,,,,,,DROPDOWN,,Date,DMART High,RELIANCE High
11/3/2022,2529.850098,2559.550049,2525.050049,2555.149902,2555.149902,3089026,4180,4230,4165,4194.200195,4194.200195,153178,,,,,,,,,,,,11/3/2022,4230,2559.550049
11/4/2022,2553.899902,2600,2551.100098,2592.75,2592.75,5803737,4200,4207.950195,4150,4167.350098,4167.350098,532072,,,,,,,,,,,,11/4/2022,4207.950195,2600
11/7/2022,2591,2610.300049,2574,2606.600098,2606.600098,5440967,4188.799805,4214.100098,4140.5,4173.5,4173.5,395435,,,,,,,,,,,,11/7/2022,4214.100098,2610.300049
11/9/2022,2610.300049,2621.949951,2590.050049,2604,2604,5193814,4199,4199,4118,4158.700195,4158.700195,361585,,,,,,,,,,,,11/9/2022,4199,2621.949951
11/10/2022,2590,2596.550049,2563,2572.5,2572.5,2753420,4158.700195,4175,4104.399902,4138.850098,4138.850098,254477,,,,,,,,,,,,11/10/2022,4175,2596.550049
11/11/2022,2600,2636,2588,2631.800049,2631.800049,5681124,4159.549805,4169,4117.049805,4128.350098,4128.350098,214392,,,,,,,,,,,,11/11/2022,4169,2636
11/14/2022,2630.75,2642,2605.149902,2619.050049,2619.050049,4173395,4144.799805,4144.799805,4081.800049,4098.350098,4098.350098,300509,,,,,,,,,,,,11/14/2022,4144.799805,2642
11/15/2022,2622.300049,2626.399902,2590,2607.300049,2607.300049,3270388,4082,4109.799805,4046,4053.800049,4053.800049,496893,,,,,,,,,,,,11/15/2022,4109.799805,2626.399902
11/16/2022,2610,2615.949951,2581.350098,2592.350098,2592.350098,4484007,4053.800049,4059.949951,4003.149902,4011.699951,4011.699951,290474,,,,,,,,,,,,11/16/2022,4059.949951,2615.949951
11/17/2022,2584.949951,2613,2580,2599.050049,2599.050049,3074259,4000,4009.949951,3940,3949.199951,3949.199951,365371,,,,,,,,,,,,11/17/2022,4009.949951,2613
11/18/2022,2606.75,2609,2571.100098,2597.649902,2597.649902,2447425,3968.899902,4020,3890.050049,3910.600098,3910.600098,402297,,,,,,,,,,,,11/18/2022,4020,2609
11/21/2022,2588,2588,2543.100098,2550.899902,2550.899902,2949108,3923,3936,3871.050049,3882.300049,3882.300049,204061,,,,,,,,,,,,11/21/2022,3936,2588
11/22/2022,2545,2568.5,2536.5,2565.050049,2565.050049,3051201,3884.949951,4026,3883,3955.199951,3955.199951,504844,,,,,,,,,,,,11/22/2022,4026,2568.5
11/23/2022,2575,2577.899902,2552.25,2557.050049,2557.050049,2959787,3975,3998.600098,3934.25,3954.75,3954.75,182631,,,,,,,,,,,,11/23/2022,3998.600098,2577.899902
11/24/2022,2566,2594,2548.199951,2579.100098,2579.100098,4333225,3974.350098,3994.75,3951.100098,3968.050049,3968.050049,155797,,,,,,,,,,,,11/24/2022,3994.75,2594
11/25/2022,2589,2624.899902,2582.100098,2617.600098,2617.600098,3391988,3969,3977.050049,3901,3904.449951,3904.449951,291850,,,,,,,,,,,,11/25/2022,3977.050049,2624.899902
11/28/2022,2608.899902,2721.050049,2502,2707.550049,2707.550049,14549929,3913.399902,3934,3890,3907.699951,3907.699951,228975,,,,,,,,,,,,11/28/2022,3934,2721.050049
11/29/2022,2703.949951,2731.649902,2694,2712.199951,2712.199951,5103687,3907,3977.550049,3898,3965.100098,3965.100098,344369,,,,,,,,,,,,11/29/2022,3977.550049,2731.649902
11/30/2022,2712.5,2745.449951,2698.199951,2731.350098,2731.350098,12075137,3975,4040,3955,4025.5,4025.5,604666,,,,,,,,,,,,11/30/2022,4040,2745.449951
12/1/2022,2741.800049,2755,2716,2723.300049,2723.300049,4377696,4041,4064,4032.100098,4044.149902,4044.149902,255279,,,,,,,,,,,,12/1/2022,4064,2755
12/2/2022,2730,2748,2700.600098,2722.149902,2722.149902,5348595,4049,4055,3992.550049,4005.75,4005.75,222148,,,,,,,,,,,,12/2/2022,4055,2748
12/5/2022,2712,2716.75,2678,2682.449951,2682.449951,6843367,4010,4049.949951,3975,4028.149902,4028.149902,217716,,,,,,,,,,,,12/5/2022,4049.949951,2716.75
